datetime,Ta_2m,Ta_2m_uncertainty,PCP,Huma_2m,Huma_2m_Uncertainty,Irradiation,Irradiation_Uncertainty,Windspeed,Wind_direction,gRad2,gRaddown,Ts_10cm,Ts_60cm,date
2023-08-01T00:30:00Z,13.9,NA,0,90.9,NA,NA,NA,1.9,339,11,8,12.3,12.4,2023-08-01
2023-08-01T01:00:00Z,13.6,NA,0,91.6,NA,NA,NA,1.5,288,10,8,12.3,12.3,2023-08-01
2023-08-01T01:30:00Z,13.6,NA,0,91.4,NA,NA,NA,1.6,292,10,8,12.3,12.4,2023-08-01
2023-08-01T02:00:00Z,13.6,NA,0,91.5,NA,NA,NA,1.7,293,10,7,12.3,12.3,2023-08-01
2023-08-01T02:30:00Z,13.6,NA,0,92.4,NA,NA,NA,1.6,305,10,8,12.3,12.3,2023-08-01
2023-08-01T03:00:00Z,13.6,NA,0,92.8,NA,NA,NA,1.6,287,10,7,12.3,12.4,2023-08-01
2023-08-01T03:30:00Z,13.7,NA,0,92.8,NA,NA,NA,1.7,256,10,7,12.3,12.3,2023-08-01
2023-08-01T04:00:00Z,13.7,NA,0,92.7,NA,NA,NA,1.7,339,9,7,12.3,12.4,2023-08-01
2023-08-01T04:30:00Z,13.7,NA,0,92.2,NA,NA,NA,1.9,247,9,7,12.3,12.4,2023-08-01
2023-08-01T05:00:00Z,13.7,NA,0,91.5,NA,NA,NA,2.1,50,9,7,12.3,12.4,2023-08-01
2023-08-01T05:30:00Z,13.6,NA,0,91.7,NA,NA,NA,1.7,285,10,7,12.3,12.4,2023-08-01
2023-08-01T06:00:00Z,13.8,NA,0,91,NA,NA,NA,1.8,307,9,7,12.2,12.3,2023-08-01
2023-08-01T06:30:00Z,13.6,NA,0,90.5,NA,NA,NA,1.8,293,9,7,12.2,12.3,2023-08-01
2023-08-01T07:00:00Z,13.6,NA,0,90.5,NA,NA,NA,1.7,182,9,7,12.2,12.4,2023-08-01
2023-08-01T07:30:00Z,13.9,NA,0,89.5,NA,NA,NA,1.7,326,8,7,12.2,12.3,2023-08-01
2023-08-01T08:00:00Z,14.3,NA,0,88.2,NA,NA,NA,1.8,346,6,8,12.1,12.4,2023-08-01
2023-08-01T08:30:00Z,15,NA,0,86.2,NA,NA,NA,1.8,356,7,8,12.1,12.3,2023-08-01
2023-08-01T09:00:00Z,15.8,NA,0,83.6,NA,NA,NA,2.1,333,7,9,12.1,12.3,2023-08-01
2023-08-01T09:30:00Z,17.4,NA,0,79.5,NA,NA,NA,1.9,338,9,10,12,12.3,2023-08-01
2023-08-01T10:00:00Z,18.6,NA,0,76.1,NA,NA,NA,2,278,12,13,12,12.2,2023-08-01
2023-08-01T10:30:00Z,18.9,NA,0,73.4,NA,NA,NA,2,278,14,13,12,12.3,2023-08-01
2023-08-01T11:00:00Z,20.5,NA,0,69.7,NA,NA,NA,2.1,324,16,15,11.9,12.2,2023-08-01
2023-08-01T11:30:00Z,20.8,NA,0,66.7,NA,NA,NA,2,326,19,17,12,12.2,2023-08-01
2023-08-01T12:00:00Z,20.7,NA,0,65.9,NA,NA,NA,2.1,337,21,17,12,12.2,2023-08-01
2023-08-01T12:30:00Z,19.3,NA,0,67.9,NA,NA,NA,2,333,19,17,12,12.2,2023-08-01
2023-08-01T13:00:00Z,17.3,NA,0,73,NA,NA,NA,1.5,221,16,15,12.1,12.2,2023-08-01
2023-08-01T13:30:00Z,20.2,NA,0,70.1,NA,NA,NA,1.7,0,16,14,12.1,12.2,2023-08-01
2023-08-01T14:00:00Z,20.3,NA,0,67.2,NA,NA,NA,1.7,342,19,16,12.2,12.2,2023-08-01
2023-08-01T14:30:00Z,19.6,NA,0,68.8,NA,NA,NA,1.5,356,19,16,12.2,12.2,2023-08-01
2023-08-01T15:00:00Z,17.8,NA,0,73.9,NA,NA,NA,1.4,326,18,15,12.2,12.2,2023-08-01
2023-08-01T15:30:00Z,18.2,NA,0,74.8,NA,NA,NA,1.6,356,16,14,12.3,12.2,2023-08-01
2023-08-01T16:00:00Z,15.7,NA,0,84.1,NA,NA,NA,1.4,343,14,13,12.3,12.2,2023-08-01
2023-08-01T16:30:00Z,16.3,NA,0,82.4,NA,NA,NA,1.2,307,12,12,12.3,12.3,2023-08-01
2023-08-01T17:00:00Z,15.5,NA,0,83.4,NA,NA,NA,1,305,11,11,12.4,12.3,2023-08-01
2023-08-01T17:30:00Z,15.4,NA,0,82.7,NA,NA,NA,1.1,278,10,10,12.4,12.3,2023-08-01
2023-08-01T18:00:00Z,14.7,NA,0,84.8,NA,NA,NA,1,292,9,10,12.5,12.3,2023-08-01
