"datetime","Ta_2m","Ta_2m_uncertainty","PCP","Huma_2m","Huma_2m_Uncertainty","Irradiation","Irradiation_Uncertainty","Windspeed","Wind_direction","gRad2","gRaddown","Ts_10cm","Ts_60cm"
1998-03-19 17:00:00,19.2,0.549,0,93.5,2.5,148,NA,NA,NA,NA,NA,NA,NA
1998-03-19 18:00:00,17.9,0.549,0.2,97.2,2.5,56,NA,NA,NA,NA,NA,NA,NA
1998-03-19 19:00:00,17.3,0.549,0,99.4,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-19 20:00:00,16.7,0.549,0,98.4,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-19 21:00:00,16.6,0.549,0,97.4,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-19 22:00:00,16.4,0.549,0,98,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-19 23:00:00,16.3,0.549,0,98.2,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20,16.1,0.549,0,98.7,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 01:00:00,16.1,0.549,0,98.5,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 02:00:00,16.1,0.549,0,97,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 03:00:00,16.6,0.549,0.8,91.7,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 04:00:00,17.3,0.549,0,86.7,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 05:00:00,16.1,0.549,1,96.4,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 06:00:00,15.8,0.549,3.7,98.7,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 07:00:00,16.4,0.549,1,95.4,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 08:00:00,17.4,0.549,0,86.9,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 09:00:00,16.6,0.549,0,94.6,2.5,37,NA,NA,NA,NA,NA,NA,NA
1998-03-20 10:00:00,17.3,0.549,0.4,94.2,2.5,125,NA,NA,NA,NA,NA,NA,NA
1998-03-20 11:00:00,17.5,0.549,0.4,97.1,2.5,99,NA,NA,NA,NA,NA,NA,NA
1998-03-20 12:00:00,17.4,0.549,1,96.7,2.5,139,NA,NA,NA,NA,NA,NA,NA
1998-03-20 13:00:00,18.2,0.549,0.4,91.2,2.5,243,NA,NA,NA,NA,NA,NA,NA
1998-03-20 14:00:00,17.8,0.549,1.2,92.6,2.5,183,NA,NA,NA,NA,NA,NA,NA
1998-03-20 15:00:00,18,0.549,3.3,94.9,2.5,227,NA,NA,NA,NA,NA,NA,NA
1998-03-20 16:00:00,17.7,0.549,0.2,94.7,2.5,120,NA,NA,NA,NA,NA,NA,NA
1998-03-20 17:00:00,17.7,0.549,0,90.2,2.5,74,NA,NA,NA,NA,NA,NA,NA
1998-03-20 18:00:00,17.3,0.549,0,92.5,2.5,6,NA,NA,NA,NA,NA,NA,NA
1998-03-20 19:00:00,16.8,0.549,0,96.3,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 20:00:00,16.5,0.549,0,97.5,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 21:00:00,16.3,0.549,1.2,98.8,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 22:00:00,16.3,0.549,0,99,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-20 23:00:00,16.2,0.549,0,99.2,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21,16.2,0.549,0,99.4,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 01:00:00,16.1,0.549,0,99.9,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 02:00:00,16,0.549,0,99.9,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 03:00:00,15.9,0.549,0,99.6,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 04:00:00,15.8,0.549,0,99.6,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 05:00:00,15.8,0.549,0,99.6,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 06:00:00,15.9,0.549,0.2,98.6,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 07:00:00,15.8,0.549,3.5,98.6,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 08:00:00,15.9,0.549,0.8,99,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 09:00:00,16.4,0.549,0.4,98.8,2.5,27,NA,NA,NA,NA,NA,NA,NA
1998-03-21 10:00:00,16.9,0.549,0,99.1,2.5,89,NA,NA,NA,NA,NA,NA,NA
1998-03-21 11:00:00,17.3,0.549,0.8,97.2,2.5,153,NA,NA,NA,NA,NA,NA,NA
1998-03-21 12:00:00,18.2,0.549,0,93.9,2.5,246,NA,NA,NA,NA,NA,NA,NA
1998-03-21 13:00:00,18,0.549,0,92.6,2.5,113,NA,NA,NA,NA,NA,NA,NA
1998-03-21 14:00:00,18.9,0.549,0.2,91.2,2.5,311,NA,NA,NA,NA,NA,NA,NA
1998-03-21 15:00:00,20.5,0.549,0,83.7,2.5,399,NA,NA,NA,NA,NA,NA,NA
1998-03-21 16:00:00,19.5,0.549,0,86.8,2.5,226,NA,NA,NA,NA,NA,NA,NA
1998-03-21 17:00:00,20.1,0.549,0,86.5,2.5,337,NA,NA,NA,NA,NA,NA,NA
1998-03-21 18:00:00,18.4,0.549,0,91.3,2.5,22,NA,NA,NA,NA,NA,NA,NA
1998-03-21 19:00:00,17.5,0.549,0,94.7,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 20:00:00,16.9,0.549,0,95.5,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 21:00:00,16.4,0.549,0,97.5,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 22:00:00,16.5,0.549,0,95.8,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-21 23:00:00,16.4,0.549,0,96.3,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22,16.3,0.549,0,95.8,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 01:00:00,15.8,0.549,0,97.3,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 02:00:00,15.9,0.549,0,96.3,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 03:00:00,15.7,0.549,0,97.9,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 04:00:00,15.7,0.549,0.2,98.7,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 05:00:00,15.7,0.549,0.6,99.6,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 06:00:00,15.6,0.549,3.7,99.9,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 07:00:00,15.6,0.549,1.2,99.9,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 08:00:00,15.7,0.549,0.2,99.9,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 09:00:00,16.2,0.549,0,99.9,2.5,49,NA,NA,NA,NA,NA,NA,NA
1998-03-22 10:00:00,17.6,0.549,0,99,2.5,256,NA,NA,NA,NA,NA,NA,NA
1998-03-22 11:00:00,18.9,0.549,0,94.7,2.5,369,NA,NA,NA,NA,NA,NA,NA
1998-03-22 12:00:00,20.7,0.549,0,85.6,2.5,489,NA,NA,NA,NA,NA,NA,NA
1998-03-22 13:00:00,21.6,0.549,0,76.9,2.5,455,NA,NA,NA,NA,NA,NA,NA
1998-03-22 14:00:00,20.9,0.549,0,77.4,2.5,357,NA,NA,NA,NA,NA,NA,NA
1998-03-22 15:00:00,21.3,0.549,0,80.3,2.5,494,NA,NA,NA,NA,NA,NA,NA
1998-03-22 16:00:00,22.6,0.549,0,70.3,2.5,577,NA,NA,NA,NA,NA,NA,NA
1998-03-22 17:00:00,23,0.549,0,68.5,2.5,470,NA,NA,NA,NA,NA,NA,NA
1998-03-22 18:00:00,21.9,0.549,0,71.5,2.5,198,NA,NA,NA,NA,NA,NA,NA
1998-03-22 19:00:00,19.5,0.549,0,82.2,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 20:00:00,17.6,0.549,0,91.5,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 21:00:00,17.1,0.549,0,91.8,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 22:00:00,16.6,0.549,0,93.8,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-22 23:00:00,16.2,0.549,4.5,97,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-23,16.2,0.549,0,96.8,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-23 01:00:00,15.8,0.549,0,99.1,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-23 02:00:00,15.8,0.549,0,98.7,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-23 03:00:00,15.6,0.549,0,99.1,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-23 04:00:00,15.7,0.549,0,98.3,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-23 05:00:00,15.4,0.549,0,98.5,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-23 06:00:00,15.2,0.549,0,97.9,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-23 07:00:00,14.8,0.549,0,98.3,2.5,0,NA,NA,NA,NA,NA,NA,NA
1998-03-23 08:00:00,15.1,0.549,0,97.7,2.5,74,NA,NA,NA,NA,NA,NA,NA
1998-03-23 09:00:00,18.1,0.549,0,90.2,2.5,405,NA,NA,NA,NA,NA,NA,NA
1998-03-23 10:00:00,19.8,0.549,0,89.6,2.5,364,NA,NA,NA,NA,NA,NA,NA
1998-03-23 11:00:00,20.5,0.549,0,81.9,2.5,366,NA,NA,NA,NA,NA,NA,NA
1998-03-23 12:00:00,21.3,0.549,0,75.5,2.5,462,NA,NA,NA,NA,NA,NA,NA
1998-03-23 13:00:00,22,0.549,0,74.9,2.5,517,NA,NA,NA,NA,NA,NA,NA
1998-03-23 14:00:00,22.5,0.549,0,72.5,2.5,659,NA,NA,NA,NA,NA,NA,NA
1998-03-23 15:00:00,24.4,0.549,0,64.8,2.5,845,NA,NA,NA,NA,NA,NA,NA
1998-03-23 16:00:00,25,0.549,0,62.5,2.5,662,NA,NA,NA,NA,NA,NA,NA
