start,end,Parcela,Species,ID,Individuo,DD,MM,YY,LB,NL,ML,GL,AL,FB,OF,FR,MF
00:34.5,01:51.0,3,Handroanthus crysanthus,H11,11,18,6,2022,0,0,4,0,3,0,0,0,0
52:20.7,57:42.1,3,Handroanthus crysanthus,H05,5,20,6,2022,0,0,4,0,2,0,0,0,0
57:46.5,59:12.1,3,Handroanthus crysanthus,H04,4,20,6,2022,0,0,4,0,1,0,0,0,0
27:37.0,28:39.1,3,Handroanthus crysanthus,H01,1,21,6,2022,0,0,3,0,2,0,0,0,0
28:41.7,29:39.4,3,Handroanthus crysanthus,H02,2,21,6,2022,0,0,3,0,1,0,0,0,0
29:57.0,30:58.1,3,Handroanthus crysanthus,H06,6,20,6,2022,0,0,4,0,2,0,0,0,0
32:08.7,33:00.5,3,Handroanthus crysanthus,H10,10,20,6,2022,0,0,3,0,2,0,0,0,0
11:16.6,17:54.3,3,Handroanthus crysanthus,H11,11,29,6,2022,0,0,4,0,2,0,0,0,0
46:35.2,48:36.7,3,Handroanthus crysanthus,H07,7,2,7,2022,0,0,2,0,3,0,0,0,0
49:51.2,51:02.3,3,Handroanthus crysanthus,H01,1,2,7,2022,0,0,1,0,3,0,0,0,0
51:09.4,52:23.2,3,Handroanthus crysanthus,H05,5,2,7,2022,0,0,4,0,2,0,0,0,0
52:35.4,54:05.4,3,Handroanthus crysanthus,H04,4,2,7,2022,0,0,4,0,2,1,0,0,0
54:08.6,55:36.6,3,Handroanthus crysanthus,H02,2,2,7,2022,0,0,3,0,3,3,0,0,0
44:34.3,48:38.2,3,Handroanthus crysanthus,H01,1,11,7,2022,0,0,1,0,0,3,0,0,0
50:28.1,51:54.7,3,Handroanthus crysanthus,H12,12,11,7,2022,0,0,2,0,4,0,0,0,0
52:11.5,56:26.3,3,Handroanthus crysanthus,H02,2,11,7,2022,0,0,3,0,2,3,0,0,0
56:31.7,57:55.7,3,Handroanthus crysanthus,H05,5,11,7,2022,0,0,2,0,2,4,0,0,0
01:17.1,03:57.7,3,Handroanthus crysanthus,H06,6,11,7,2022,0,0,4,0,2,3,0,0,0
04:07.7,05:14.4,3,Handroanthus crysanthus,H10,10,11,7,2022,0,0,2,0,2,3,0,0,0
10:34.0,31:25.1,3,Handroanthus crysanthus,H04,4,12,7,2022,0,0,2,0,1,4,0,0,0
35:11.2,36:34.2,3,Handroanthus crysanthus,H07,7,12,7,2022,0,0,1,0,1,3,0,0,0
41:59.0,43:02.0,3,Handroanthus crysanthus,H11,11,13,7,2022,0,0,3,0,2,3,0,0,0
45:26.1,47:48.0,3,Handroanthus crysanthus,H11,11,6,8,2022,0,0,0,0,0,3,0,0,0
52:09.6,54:16.9,3,Handroanthus crysanthus,H02,2,6,8,2022,0,0,1,0,0,4,0,0,0
25:37.1,28:06.9,3,Handroanthus crysanthus,H01,1,7,8,2022,0,0,0,0,0,4,1,0,0
28:11.4,30:43.8,3,Handroanthus crysanthus,H04,4,7,8,2022,0,0,1,0,1,4,0,0,0
30:47.1,32:10.2,3,Handroanthus crysanthus,H05,5,7,8,2022,0,0,1,0,1,4,0,0,0
34:31.7,35:47.6,3,Handroanthus crysanthus,H06,6,7,8,2022,0,0,3,0,2,3,0,0,0
22:24.9,24:14.5,3,Handroanthus crysanthus,H14,14,9,8,2022,0,0,0,0,0,3,0,0,0
24:17.4,27:04.8,3,Handroanthus crysanthus,H07,7,9,8,2022,0,0,0,0,0,3,1,0,0
27:31.8,29:07.6,3,Handroanthus crysanthus,H10,10,9,8,2022,0,0,1,0,6,2,0,0,0
29:12.0,31:44.8,3,Handroanthus crysanthus,H12,12,10,8,2022,0,0,0,0,0,5,0,0,0
31:57.1,34:05.0,3,Handroanthus crysanthus,H13,13,10,8,2022,0,0,0,0,0,4,0,0,0
53:31.9,54:44.1,3,Handroanthus crysanthus,H07,7,24,7,2022,0,0,0,0,0,3,1,0,0
54:49.5,55:47.0,3,Handroanthus crysanthus,H01,1,25,7,2022,0,0,0,0,0,4,3,0,0
55:57.3,57:11.5,3,Handroanthus crysanthus,H05,5,25,7,2022,0,0,2,0,5,4,0,0,0
57:17.9,58:18.2,3,Handroanthus crysanthus,H04,4,25,7,2022,0,0,1,0,1,3,0,0,0
59:26.7,00:40.2,3,Handroanthus crysanthus,H06,6,25,7,2022,0,0,3,0,3,3,0,0,0
00:48.3,02:00.3,3,Handroanthus crysanthus,H10,10,25,7,2022,0,0,2,0,6,3,0,0,0
04:46.2,05:47.9,3,Handroanthus crysanthus,H11,11,26,7,2022,0,0,2,0,5,4,0,0,0
05:57.9,07:05.9,3,Handroanthus crysanthus,H02,2,26,7,2022,0,0,1,0,6,3,0,0,0
35:09.8,38:59.1,3,Handroanthus crysanthus,H02,2,17,8,2022,1,2,0,0,6,5,2,0,0
21:14.3,24:45.9,3,Handroanthus crysanthus,H01,1,17,8,2022,1,2,0,0,0,4,0,0,0
24:48.8,26:42.6,3,Handroanthus crysanthus,H05,5,17,8,2022,0,0,1,0,6,5,0,0,0
26:52.5,28:32.5,3,Handroanthus crysanthus,H04,4,17,8,2022,0,0,1,0,6,4,0,0,0
30:12.1,32:17.7,3,Handroanthus crysanthus,H10,10,20,8,2022,0,0,1,0,6,3,0,0,0
35:29.5,36:37.0,3,Handroanthus crysanthus,H07,7,20,8,2022,0,0,1,0,6,5,0,0,0
39:30.3,41:37.2,3,Handroanthus crysanthus,H12,12,22,8,2022,0,0,0,0,0,5,0,0,0
41:50.9,43:53.6,3,Handroanthus crysanthus,H13,13,22,8,2022,0,0,0,0,0,4,0,0,0
32:39.2,33:39.4,3,Handroanthus crysanthus,H11,11,31,8,2022,0,0,0,0,0,4,2,0,0
13:38.3,36:45.1,3,Handroanthus crysanthus,H01,1,3,9,2022,3,2,0,0,0,4,1,1,0
17:32.5,37:36.2,3,Handroanthus crysanthus,H02,2,3,9,2022,0,0,0,0,0,4,3,0,0
20:23.3,38:19.7,3,Handroanthus crysanthus,H05,5,3,9,2022,1,0,0,0,0,5,2,0,0
22:27.8,38:57.8,3,Handroanthus crysanthus,H12,12,3,9,2022,2,1,0,0,0,4,2,0,0
26:05.1,27:44.9,3,Handroanthus crysanthus,H13,13,3,9,2022,1,0,0,0,0,1,0,0,0
32:31.3,35:53.2,3,Handroanthus crysanthus,H07,7,4,9,2022,3,3,0,1,0,3,1,0,0
18:43.0,23:10.7,3,Handroanthus crysanthus,H01,1,3,9,2022,3,2,0,0,0,4,1,1,0
21:02.1,28:51.7,3,Handroanthus crysanthus,H05,5,3,9,2022,1,0,0,0,0,5,2,0,0
23:16.4,25:13.3,3,Handroanthus crysanthus,H12,12,3,9,2022,2,1,0,0,0,4,2,0,0
25:44.3,37:18.2,3,Handroanthus crysanthus,H13,13,3,9,2022,1,0,0,0,0,3,0,0,0
37:24.2,38:59.1,3,Handroanthus crysanthus,H04,4,3,9,2022,0,0,0,0,0,5,1,0,0
39:33.7,41:44.0,3,Handroanthus crysanthus,H07,7,4,9,2022,3,3,0,1,0,3,1,0,0
50:14.1,52:04.5,3,Handroanthus crysanthus,H06,6,5,9,2022,0,0,0,0,0,5,1,0,0
53:56.3,55:22.8,3,Handroanthus crysanthus,H10,10,5,9,2022,2,0,1,0,0,4,0,0,0
37:22.2,38:45.0,3,Handroanthus crysanthus,H02,2,10,9,2022,5,2,0,0,0,6,2,0,0
17:05.9,19:33.2,3,Handroanthus crysanthus,H11,11,19,9,2022,2,0,0,0,0,5,4,0,0
20:20.5,23:02.4,3,Handroanthus crysanthus,H02,2,19,9,2022,5,2,0,4,0,0,0,0,0
48:13.9,51:25.0,3,Handroanthus crysanthus,H01,1,20,9,2022,5,3,0,2,0,4,4,1,0
59:22.6,01:54.7,3,Handroanthus crysanthus,H12,12,20,9,2022,4,3,0,3,0,5,4,0,0
01:59.5,29:03.9,3,Handroanthus crysanthus,H05,5,20,9,2022,3,3,0,0,0,4,5,0,0
06:54.4,28:33.5,3,Handroanthus crysanthus,H13,13,20,9,2022,4,2,0,0,0,4,2,0,0
08:36.6,11:39.8,3,Handroanthus crysanthus,H04,4,20,9,2022,3,3,0,1,0,4,4,0,0
11:43.7,27:52.6,3,Handroanthus crysanthus,H07,7,21,9,2022,4,4,0,2,0,3,3,0,0
