month,detections,precip_mm,flower_buds,open_flowers,Month,MonthNum,sinM,cosM,InfantPresent,DetectionEvents,PCP,FB,OF
2023-08-01,6,108.39999999999992,3.6666666666666665,0.4,2023-08-01,8,-0.8660254037844384,-0.5000000000000004,0,6,108.39999999999992,3.6666666666666665,0.4
2023-09-01,7,98.5,3,3.2777777777777777,2023-09-01,9,-1,-1.8369701987210297e-16,0,7,98.5,3,3.2777777777777777
2023-10-01,4,124.49999999999984,0.6666666666666666,0.5833333333333334,2023-10-01,10,-0.8660254037844386,0.5000000000000001,0,4,124.49999999999984,0.6666666666666666,0.5833333333333334
2023-11-01,7,97.39999999999992,0.05,0.3,2023-11-01,11,-0.5000000000000004,0.8660254037844384,0,7,97.39999999999992,0.05,0.3
2023-12-01,7,162.59999999999977,0,0,2023-12-01,12,-2.4492935982947064e-16,1,0,7,162.59999999999977,0,0
2024-01-01,16,160.19999999999953,0,0,2024-01-01,1,0.49999999999999994,0.8660254037844387,1,16,160.19999999999953,0,0
2024-02-01,15,162.89999999999958,0,0,2024-02-01,2,0.8660254037844386,0.5000000000000001,1,15,162.89999999999958,0,0
2024-03-01,18,162.2999999999997,0,0,2024-03-01,3,1,6.123233995736766e-17,1,18,162.2999999999997,0,0
2024-04-01,18,109.79999999999986,0,0,2024-04-01,4,0.8660254037844387,-0.49999999999999983,1,18,109.79999999999986,0,0
2024-05-01,22,125.29999999999993,0.9090909090909092,0,2024-05-01,5,0.49999999999999994,-0.8660254037844387,0,22,125.29999999999993,0.9090909090909092,0
2024-06-01,18,153.09999999999982,2.380952380952381,0,2024-06-01,6,1.2246467991473532e-16,-1,0,18,153.09999999999982,2.380952380952381,0
2024-07-01,22,100.19999999999986,3.272727272727273,0.6363636363636364,2024-07-01,7,-0.4999999999999998,-0.8660254037844388,0,22,100.19999999999986,3.272727272727273,0.6363636363636364
2024-08-01,16,57.60000000000004,3.4545454545454546,0.09090909090909093,2024-08-01,8,-0.8660254037844384,-0.5000000000000004,0,16,57.60000000000004,3.4545454545454546,0.09090909090909093
2024-09-01,5,91.99999999999996,3.217391304347826,2.0434782608695654,2024-09-01,9,-1,-1.8369701987210297e-16,0,5,91.99999999999996,3.217391304347826,2.0434782608695654
2024-10-01,3,138.69999999999982,0.3636363636363637,0.3181818181818182,2024-10-01,10,-0.8660254037844386,0.5000000000000001,0,3,138.69999999999982,0.3636363636363637,0.3181818181818182
2024-11-01,11,55.10000000000003,0.2727272727272727,0.2727272727272727,2024-11-01,11,-0.5000000000000004,0.8660254037844384,0,11,55.10000000000003,0.2727272727272727,0.2727272727272727
