start,end,Parcela,Species,ID,Individuo,DD,MM,YY,LB,NL,ML,GL,AL,FB,OF,FR,MF,date
09:06.6,14:03.2,3,Handroanthus crysanthus,H05,5,2,8,2023,0,0,1,0,1,4,0,0,0,2023-08-02
12:23.5,13:53.6,3,Handroanthus crysanthus,H04,4,2,8,2023,0,0,2,0,3,4,0,0,0,2023-08-02
14:29.1,15:46.3,3,Handroanthus crysanthus,H13,13,2,8,2023,0,0,1,0,3,3,0,0,0,2023-08-02
17:40.6,18:35.5,3,Handroanthus crysanthus,H06,6,2,8,2023,0,0,1,0,2,4,0,0,0,2023-08-02
18:53.7,24:05.2,3,Handroanthus crysanthus,H10,10,2,8,2023,1,0,1,0,2,3,0,0,0,2023-08-02
52:50.5,54:20.9,3,Handroanthus crysanthus,H01,1,23,8,2023,0,0,0,0,0,3,0,0,0,2023-08-23
55:03.0,57:02.2,3,Handroanthus crysanthus,H04,4,23,8,2023,0,0,0,0,0,4,0,0,0,2023-08-23
57:18.1,58:42.0,3,Handroanthus crysanthus,H05,5,23,8,2023,0,0,0,0,0,4,1,0,0,2023-08-23
58:55.4,00:06.1,3,Handroanthus crysanthus,H06,6,23,8,2023,0,0,0,0,0,4,2,0,0,2023-08-23
02:28.2,04:40.5,3,Handroanthus crysanthus,H10,10,23,8,2023,0,0,1,0,3,3,0,0,0,2023-08-23
04:53.3,06:03.4,3,Handroanthus crysanthus,H12,12,23,8,2023,0,0,0,0,0,4,0,0,0,2023-08-23
06:16.8,07:27.1,3,Handroanthus crysanthus,H13,13,23,8,2023,0,0,0,0,0,3,0,0,0,2023-08-23
06:06.9,07:54.6,3,Handroanthus crysanthus,H14,14,26,8,2023,0,0,0,0,0,4,1,0,0,2023-08-26
07:58.0,09:05.3,3,Handroanthus crysanthus,H07,7,26,8,2023,1,1,0,1,0,4,1,0,0,2023-08-26
09:08.3,10:16.0,3,Handroanthus crysanthus,H02,2,26,8,2023,0,0,0,0,0,4,1,0,0,2023-08-26
06:26.4,08:42.8,3,Handroanthus crysanthus,H01,1,13,9,2023,4,3,1,2,0,5,5,0,0,2023-09-13
12:39.2,15:12.9,3,Handroanthus crysanthus,H12,12,13,9,2023,3,0,0,0,0,3,4,0,0,2023-09-13
15:20.8,16:42.7,3,Handroanthus crysanthus,H13,13,13,9,2023,3,0,0,0,0,3,3,0,0,2023-09-13
19:33.6,20:50.2,3,Handroanthus crysanthus,H07,7,16,9,2023,4,3,0,2,0,3,3,0,0,2023-09-16
21:07.4,22:52.4,3,Handroanthus crysanthus,H14,14,16,9,2023,4,3,0,0,0,3,5,0,0,2023-09-16
23:05.9,25:03.8,3,Handroanthus crysanthus,H10,10,16,9,2023,4,3,1,2,0,3,3,0,0,2023-09-16
25:20.9,28:16.7,3,Handroanthus crysanthus,H06,6,16,9,2023,4,4,0,2,0,4,4,0,0,2023-09-16
29:51.9,30:39.5,3,Handroanthus crysanthus,H02,2,16,9,2023,4,1,0,1,0,4,3,0,0,2023-09-16
30:47.3,32:08.9,3,Handroanthus crysanthus,H11,11,16,9,2023,4,4,0,1,0,3,5,0,0,2023-09-16
59:41.9,04:01.7,3,Handroanthus crysanthus,H11,11,27,9,2023,4,4,1,6,0,3,3,2,0,2023-09-27
04:11.7,06:12.4,3,Handroanthus crysanthus,H02,2,27,9,2023,4,4,1,4,0,4,3,2,0,2023-09-27
06:28.1,07:39.9,3,Handroanthus crysanthus,H01,1,27,9,2023,3,3,4,3,0,2,2,3,0,2023-09-27
09:45.6,10:52.1,3,Handroanthus crysanthus,H07,7,27,9,2023,3,4,3,3,0,2,2,0,0,2023-09-27
11:05.3,12:10.1,3,Handroanthus crysanthus,H14,14,27,9,2023,4,3,1,3,0,3,4,0,0,2023-09-27
39:31.5,40:58.4,3,Handroanthus crysanthus,H05,5,30,9,2023,4,5,1,3,0,3,3,3,0,2023-09-30
41:09.9,42:49.7,3,Handroanthus crysanthus,H12,12,30,9,2023,3,4,0,3,0,3,3,0,0,2023-09-30
42:56.3,44:42.5,3,Handroanthus crysanthus,H04,4,30,9,2023,4,4,0,4,0,2,2,3,0,2023-09-30
44:44.8,45:56.0,3,Handroanthus crysanthus,H13,13,30,9,2023,3,2,1,2,0,1,2,0,0,2023-09-30
12:06.0,13:29.4,3,Handroanthus crysanthus,H10,10,1,10,2023,4,5,3,3,0,2,2,3,0,2023-10-01
15:06.6,16:31.9,3,Handroanthus crysanthus,H10,10,1,10,2023,3,4,2,3,0,3,3,3,0,2023-10-01
36:53.8,38:05.6,3,Handroanthus crysanthus,H11,11,3,4,2024,0,0,4,0,2,0,0,0,0,2024-04-03
53:50.4,57:59.5,3,Handroanthus crysanthus,H11,11,16,3,2024,0,0,4,0,1,0,0,0,0,2024-03-16
43:52.2,44:45.1,3,Handroanthus crysanthus,H10,10,30,3,2024,0,0,3,0,2,0,0,0,0,2024-03-30
