"Tree1","Tree2","Distance_m"
"H01","H01",0
"H04","H01",29.3931517005448
"H05","H01",10.4837019668035
"H06","H01",32.6824488078881
"H11","H01",62.5570897064391
"H01","H04",29.3931517005448
"H04","H04",0
"H05","H04",20.7926178331267
"H06","H04",26.7808399791602
"H11","H04",74.8115853684842
"H01","H05",10.4837019668035
"H04","H05",20.7926178331267
"H05","H05",0
"H06","H05",23.3208654380696
"H11","H05",69.932479497344
"H01","H06",32.6824488078881
"H04","H06",26.7808399791602
"H05","H06",23.3208654380696
"H06","H06",0
"H11","H06",92.9827623116676
"H01","H11",62.5570897064391
"H04","H11",74.8115853684842
"H05","H11",69.932479497344
"H06","H11",92.9827623116676
"H11","H11",0
